Session ID,Station ID,Station Location,Charging Start Time,Charging End Time,Charging Duration (mins),Energy Consumed (kWh),Vehicle Type,Battery Level Start (%),Battery Level End (%),Cost of Charging (₹/$),Payment Method,Station Type,Connector Type,User ID,Subscription Plan,Renewable Energy Source Used (%),Charging Station Rating,Charging Status,Comments/Issues
3ff97e3f,ST0066,Seattle,32:21.9,14:21.9,42,33.5,Hatchback,42,54,8.74,Wallet,Level 2 Charger,Type 2,USER5057,Pay-as-you-go,0,1.1,Failed,Charging interrupted
4f27e6ef,ST0063,Boston,32:21.9,05:21.9,33,7.54,Motorbike,73,100,3.3,Debit Card,DC Fast Charger,CHAdeMO,USER3537,Monthly,100,4.9,Successful,Slow charging
5394a838,ST0016,Miami,32:21.9,56:21.9,24,33.6,Truck,10,28,16.04,Cash,DC Fast Charger,CCS,USER7977,Free,13,3.2,In Progress,Charging interrupted
82194a68,ST0088,Seattle,32:21.9,00:21.9,28,21.04,Hatchback,24,40,8.86,Debit Card,Fast Charger,CCS,USER9437,Monthly,36,1.9,In Progress,Charging interrupted
62acc51b,ST0093,Seattle,32:21.9,28:21.9,56,26.46,Bus,20,51,10.88,UPI,Level 2 Charger,Type 2,USER3256,Monthly,67,1.3,In Progress,Charging interrupted
2eab7c6d,ST0050,New York,32:21.9,09:21.9,97,17.63,SUV,10,44,7.38,Wallet,Level 2 Charger,Tesla Supercharger,USER6612,Free,49,1.7,Failed,Charging interrupted
d51abd8f,ST0014,Miami,32:21.9,24:21.9,112,37.34,Bus,39,52,16.67,Debit Card,Slow Charger,CCS,USER6901,Annual,18,2.9,In Progress,Charging interrupted
e18dcb13,ST0092,Miami,32:21.9,07:21.9,95,49.13,Bus,49,73,11.68,UPI,Slow Charger,CCS,USER3077,Monthly,9,1.4,Successful,Expensive
5b49a927,ST0045,Boston,32:21.9,57:21.9,85,48.26,Hatchback,34,58,19.71,Wallet,Level 2 Charger,CHAdeMO,USER6655,Free,32,5,Failed,Charging interrupted
ca630d87,ST0098,Boston,32:21.9,51:21.9,79,34.77,Truck,9,48,13.24,Credit Card,Level 2 Charger,CCS,USER5400,Monthly,83,4.2,Failed,Charging interrupted
15677d3c,ST0028,New York,32:21.9,30:21.9,58,46.88,Truck,37,55,22.33,UPI,Fast Charger,CHAdeMO,USER2271,Annual,99,3.7,Failed,Charging interrupted
ff3c3dc5,ST0055,Miami,32:21.9,10:21.9,38,13.92,Hatchback,54,89,3.76,UPI,Slow Charger,Tesla Supercharger,USER3304,Pay-as-you-go,63,4,Successful,Charger not working
d879eb95,ST0035,New York,32:21.9,54:21.9,22,49.2,Sedan,50,71,17.18,Wallet,Level 2 Charger,CCS,USER7978,Annual,36,2.5,Successful,Charger not working
e736911a,ST0003,Chicago,32:21.9,04:21.9,92,46.48,Truck,16,54,9.56,Debit Card,DC Fast Charger,Type 2,USER2279,Monthly,92,1.9,Successful,Charger not working
a682e4f6,ST0100,Boston,32:21.9,23:21.9,111,28.19,Motorbike,20,56,8.17,Debit Card,DC Fast Charger,Tesla Supercharger,USER3571,Monthly,0,3.3,In Progress,Charging interrupted
7d84477b,ST0020,Miami,32:21.9,57:21.9,85,49.27,Bus,25,51,21.29,Cash,Level 2 Charger,Type 2,USER3481,Monthly,74,2.3,Failed,Charging interrupted
d7eef929,ST0039,New York,32:21.9,24:21.9,112,32.77,Truck,40,71,8.35,Cash,Level 2 Charger,CCS,USER3167,Monthly,12,3.4,In Progress,Charging interrupted
13e84518,ST0031,Los Angeles,32:21.9,37:21.9,65,35.49,SUV,78,100,16.25,Debit Card,Level 2 Charger,Tesla Supercharger,USER8123,Monthly,6,2.1,Failed,Charging interrupted
51347f3b,ST0008,Boston,32:21.9,05:21.9,33,23.46,Truck,18,43,7.11,Debit Card,DC Fast Charger,Type 2,USER2832,Annual,31,2.7,In Progress,Charging interrupted
8607a408,ST0029,Miami,32:21.9,50:21.9,18,41.59,Sedan,47,59,20.62,Cash,Level 2 Charger,CCS,USER9020,Annual,78,4.1,In Progress,Charging interrupted
8941ec5f,ST0067,Los Angeles,32:21.9,42:21.9,70,39.36,Truck,50,65,10.56,Debit Card,DC Fast Charger,Tesla Supercharger,USER2717,Monthly,45,3.8,Successful,Convenient location
